"order_id","order_date","product_id","quantity_ordered","customer_id","payment_type"
1,"2022-01-02",101,1,1,"Credit    "
2,"2022-01-02",101,1,1,"Credit    "
3,"2022-01-02",101,1,1,"Credit    "
4,"2022-01-02",101,1,1,"Credit    "
5,"2022-01-03",101,1,1,"Credit    "
6,"2022-01-04",101,1,1,"Credit    "
7,"2022-01-04",101,1,1,"Credit    "
8,"2022-01-05",101,1,1,"Credit    "
9,"2022-01-05",101,1,1,"Credit    "
10,"2022-01-07",101,1,1,"Credit    "
11,"2022-01-08",101,1,1,"Credit    "
12,"2022-01-09",101,1,1,"Credit    "
13,"2022-01-10",101,1,1,"Credit    "
14,"2022-01-10",101,1,1,"Credit    "
15,"2022-01-10",101,1,1,"Credit    "
16,"2022-01-10",101,1,1,"Credit    "
17,"2022-01-11",101,1,1,"Credit    "
18,"2022-01-11",101,1,1,"Credit    "
19,"2022-01-12",101,1,1,"Credit    "
20,"2022-01-12",101,1,1,"Credit    "
21,"2022-01-12",101,1,1,"Credit    "
22,"2022-01-13",101,1,1,"Credit    "
23,"2022-01-13",101,1,1,"Credit    "
24,"2022-01-15",101,1,1,"Credit    "
25,"2022-01-15",101,1,1,"Credit    "
26,"2022-01-15",101,1,1,"Credit    "
27,"2022-01-16",101,1,1,"Credit    "
28,"2022-01-17",101,1,1,"Credit    "
29,"2022-01-17",101,1,1,"Credit    "
30,"2022-01-17",101,1,1,"Credit    "
31,"2022-01-18",101,1,2,"Credit    "
32,"2022-01-18",101,1,2,"Credit    "
33,"2022-01-19",101,1,2,"Credit    "
34,"2022-01-19",101,1,2,"Credit    "
35,"2022-01-19",101,1,2,"Credit    "
36,"2022-01-20",101,1,2,"Credit    "
37,"2022-01-20",101,1,2,"Credit    "
38,"2022-01-21",101,1,2,"Credit    "
39,"2022-01-21",101,1,2,"Credit    "
40,"2022-01-23",101,1,2,"Credit    "
41,"2022-01-24",101,1,2,"Credit    "
42,"2022-01-24",101,1,2,"Credit    "
43,"2022-01-24",101,1,2,"Credit    "
44,"2022-01-25",101,1,2,"Credit    "
45,"2022-01-26",101,1,2,"Credit    "
46,"2022-01-27",101,1,2,"Credit    "
47,"2022-01-29",101,1,2,"Credit    "
48,"2022-01-29",101,1,2,"Credit    "
49,"2022-01-30",101,1,2,"Credit    "
50,"2022-02-02",101,1,2,"Credit    "
51,"2022-02-03",101,1,3,"Credit    "
52,"2022-02-03",101,1,3,"Credit    "
53,"2022-02-06",101,1,3,"Credit    "
54,"2022-02-07",101,1,3,"Credit    "
55,"2022-02-08",101,1,3,"Credit    "
56,"2022-02-09",101,1,3,"Credit    "
57,"2022-02-09",101,1,3,"Credit    "
58,"2022-02-09",101,1,3,"Credit    "
59,"2022-02-09",101,1,3,"Credit    "
60,"2022-02-09",101,1,3,"Credit    "
61,"2022-02-10",101,1,3,"Credit    "
62,"2022-02-10",101,1,3,"Credit    "
63,"2022-02-11",101,1,3,"Credit    "
64,"2022-02-15",101,1,3,"Credit    "
65,"2022-02-15",101,1,3,"Credit    "
66,"2022-02-16",101,1,3,"Credit    "
67,"2022-02-16",101,1,3,"Credit    "
68,"2022-02-17",101,1,3,"Credit    "
69,"2022-02-18",101,1,3,"Credit    "
70,"2022-02-18",101,1,3,"Credit    "
